00001 A00     0 Cholera                                                      Cholera
88207 V9102XS 1 Burn due to fishing boat on fire, sequela                    Burn due to fishing boat on fire, sequela
88208 V9103   0 Burn due to other powered watercraft on fire                 Burn due to other powered watercraft on fire
88209 V9103XA 1 Burn due to other powered watercraft on fire, init encntr    Burn due to other powered watercraft on fire, initial encounter
88210 V9103XD 1 Burn due to other powered watercraft on fire, subs encntr    Burn due to other powered watercraft on fire, subsequent encounter
88211 V9103XS 1 Burn due to other powered watercraft on fire, sequela        Burn due to other powered watercraft on fire, sequela
88212 V9104   0 Burn due to sailboat on fire                                 Burn due to sailboat on fire
88213 V9104XA 1 Burn due to sailboat on fire, initial encounter              Burn due to sailboat on fire, initial encounter
88214 V9104XD 1 Burn due to sailboat on fire, subsequent encounter           Burn due to sailboat on fire, subsequent encounter
88215 V9104XS 1 Burn due to sailboat on fire, sequela                        Burn due to sailboat on fire, sequela
88216 V9105   0 Burn due to canoe or kayak on fire                           Burn due to canoe or kayak on fire
88217 V9105XA 1 Burn due to canoe or kayak on fire, initial encounter        Burn due to canoe or kayak on fire, initial encounter
88218 V9105XD 1 Burn due to canoe or kayak on fire, subsequent encounter     Burn due to canoe or kayak on fire, subsequent encounter
88219 V9105XS 1 Burn due to canoe or kayak on fire, sequela                  Burn due to canoe or kayak on fire, sequela
88220 V9106   0 Burn due to (nonpowered) inflatable craft on fire            Burn due to (nonpowered) inflatable craft on fire
88221 V9106XA 1 Burn due to (nonpowered) inflatable craft on fire, init      Burn due to (nonpowered) inflatable craft on fire, initial encounter
88222 V9106XD 1 Burn due to (nonpowered) inflatable craft on fire, subs      Burn due to (nonpowered) inflatable craft on fire, subsequent encounter
88223 V9106XS 1 Burn due to (nonpowered) inflatable craft on fire, sequela   Burn due to (nonpowered) inflatable craft on fire, sequela
88224 V9107   0 Burn due to water-skis on fire                               Burn due to water-skis on fire
88225 V9107XA 1 Burn due to water-skis on fire, initial encounter            Burn due to water-skis on fire, initial encounter
88226 V9107XD 1 Burn due to water-skis on fire, subsequent encounter         Burn due to water-skis on fire, subsequent encounter
88227 V9107XS 1 Burn due to water-skis on fire, sequela                      Burn due to water-skis on fire, sequela
88228 V9108   0 Burn due to other unpowered watercraft on fire               Burn due to other unpowered watercraft on fire
88229 V9108XA 1 Burn due to other unpowered watercraft on fire, init encntr  Burn due to other unpowered watercraft on fire, initial encounter
88230 V9108XD 1 Burn due to other unpowered watercraft on fire, subs encntr  Burn due to other unpowered watercraft on fire, subsequent encounter
88231 V9108XS 1 Burn due to other unpowered watercraft on fire, sequela      Burn due to other unpowered watercraft on fire, sequela
88232 V9109   0 Burn due to unspecified watercraft on fire                   Burn due to unspecified watercraft on fire
88233 V9109XA 1 Burn due to unspecified watercraft on fire, init encntr      Burn due to unspecified watercraft on fire, initial encounter
88234 V9109XD 1 Burn due to unspecified watercraft on fire, subs encntr      Burn due to unspecified watercraft on fire, subsequent encounter
88235 V9109XS 1 Burn due to unspecified watercraft on fire, sequela          Burn due to unspecified watercraft on fire, sequela
88236 V911    0 Crushed betw watercraft and oth wtrcrft/obj due to collision Crushed between watercraft and other watercraft or other object due to collision
88237 V9110   0 Crushed betw merch ship and oth wtrcrft/obj due to collision Crushed between merchant ship and other watercraft or other object due to collision
88238 V9110XA 1 Crush betw merch ship and oth wtrcrft/obj due to clsn, init  Crushed between merchant ship and other watercraft or other object due to collision, initial encounter
88239 V9110XD 1 Crush betw merch ship and oth wtrcrft/obj due to clsn, subs  Crushed between merchant ship and other watercraft or other object due to collision, subsequent encounter
88240 V9110XS 1 Crush betw merch ship and oth wtrcrft/obj due to clsn, sqla  Crushed between merchant ship and other watercraft or other object due to collision, sequela
88241 V9111   0 Crushed betw passenger ship and oth wtrcrft/obj due to clsn  Crushed between passenger ship and other watercraft or other object due to collision
88242 V9111XA 1 Crush betw pasngr ship and oth wtrcrft/obj due to clsn, init Crushed between passenger ship and other watercraft or other object due to collision, initial encounter
88243 V9111XD 1 Crush betw pasngr ship and oth wtrcrft/obj due to clsn, subs Crushed between passenger ship and other watercraft or other object due to collision, subsequent encounter
88244 V9111XS 1 Crush betw pasngr ship and oth wtrcrft/obj due to clsn, sqla Crushed between passenger ship and other watercraft or other object due to collision, sequela
88245 V9112   0 Crushed betw fishing boat and oth wtrcrft/obj due to clsn    Crushed between fishing boat and other watercraft or other object due to collision
88246 V9112XA 1 Crush betw fish boat and oth wtrcrft/obj due to clsn, init   Crushed between fishing boat and other watercraft or other object due to collision, initial encounter
88247 V9112XD 1 Crush betw fish boat and oth wtrcrft/obj due to clsn, subs   Crushed between fishing boat and other watercraft or other object due to collision, subsequent encounter
88248 V9112XS 1 Crush betw fish boat and oth wtrcrft/obj due to clsn, sqla   Crushed between fishing boat and other watercraft or other object due to collision, sequela
88249 V9113   0 Crush betw oth power wtrcrft and oth wtrcrft/obj due to clsn Crushed between other powered watercraft and other watercraft or other object due to collision
88250 V9113XA 1 Crush betw oth pwr wtrcrft & oth wtrcrft/obj d/t clsn, init  Crushed between other powered watercraft and other watercraft or other object due to collision, initial encounter
88251 V9113XD 1 Crush betw oth pwr wtrcrft & oth wtrcrft/obj d/t clsn, subs  Crushed between other powered watercraft and other watercraft or other object due to collision, subsequent encounter
88252 V9113XS 1 Crush betw oth pwr wtrcrft & oth wtrcrft/obj d/t clsn, sqla  Crushed between other powered watercraft and other watercraft or other object due to collision, sequela
88253 V9114   0 Crushed betw sailboat and oth wtrcrft/obj due to collision   Crushed between sailboat and other watercraft or other object due to collision
88254 V9114XA 1 Crushed betw sailboat and oth wtrcrft/obj due to clsn, init  Crushed between sailboat and other watercraft or other object due to collision, initial encounter
88255 V9114XD 1 Crushed betw sailboat and oth wtrcrft/obj due to clsn, subs  Crushed between sailboat and other watercraft or other object due to collision, subsequent encounter
88256 V9114XS 1 Crushed betw sailbt and oth wtrcrft/obj due to clsn, sequela Crushed between sailboat and other watercraft or other object due to collision, sequela
88257 V9115   0 Crushed betw canoe/kayk and oth wtrcrft/obj due to collision Crushed between canoe or kayak and other watercraft or other object due to collision
88258 V9115XA 1 Crush betw canoe/kayk and oth wtrcrft/obj due to clsn, init  Crushed between canoe or kayak and other watercraft or other object due to collision, initial encounter
88259 V9115XD 1 Crush betw canoe/kayk and oth wtrcrft/obj due to clsn, subs  Crushed between canoe or kayak and other watercraft or other object due to collision, subsequent encounter
88260 V9115XS 1 Crush betw canoe/kayk and oth wtrcrft/obj due to clsn, sqla  Crushed between canoe or kayak and other watercraft or other object due to collision, sequela
88261 V9116   0 Crushed betw inflatbl crft and oth wtrcrft/obj due to clsn   Crushed between (nonpowered) inflatable craft and other watercraft or other object due to collision
88262 V9116XA 1 Crush betw inflatbl crft and oth wtrcrft/obj d/t clsn, init  Crushed between (nonpowered) inflatable craft and other watercraft or other object due to collision, initial encounter
88263 V9116XD 1 Crush betw inflatbl crft and oth wtrcrft/obj d/t clsn, subs  Crushed between (nonpowered) inflatable craft and other watercraft or other object due to collision, subsequent encounter
